date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals,away_avg_goals,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2014-10-09,Slovakia,Spain,2.0,1.0,UEFA Euro qualification,Žilina,Slovakia,False,40,8,1.4,0.4,4,2,1,2,0,0
2014-10-09,Slovenia,Switzerland,1.0,0.0,UEFA Euro qualification,Maribor,Slovenia,False,53,10,0.0,0.2,0,0,1,2,0,1
2014-10-09,Sweden,Russia,1.0,1.0,UEFA Euro qualification,Solna,Sweden,False,32,23,0.8,1.2,1,3,3,1,1,1
2014-10-10,Belgium,Andorra,6.0,0.0,UEFA Euro qualification,Brussels,Belgium,False,5,203,1.6,0.2,3,0,0,2,0,0
2014-10-10,Bulgaria,Croatia,0.0,1.0,UEFA Euro qualification,Sofia,Bulgaria,False,46,19,0.8,0.4,2,2,0,0,0,1
2014-10-10,Cyprus,Israel,1.0,2.0,UEFA Euro qualification,Nicosia,Cyprus,False,85,64,0.4,0.6,1,0,1,1,1,0
2014-10-10,Italy,Azerbaijan,2.0,1.0,UEFA Euro qualification,Palermo,Italy,False,13,95,1.4,0.4,3,0,0,2,2,0
2014-10-10,Latvia,Iceland,0.0,3.0,UEFA Euro qualification,Riga,Latvia,False,99,34,0.8,0.4,2,2,1,2,2,1
2014-10-10,Malta,Norway,0.0,3.0,UEFA Euro qualification,Attard,Malta,False,155,76,0.0,1.2,0,0,4,3,0,2
2014-10-10,Netherlands,Kazakhstan,3.0,1.0,UEFA Euro qualification,Amsterdam,Netherlands,False,4,127,1.6,1.4,2,0,3,1,0,2
2014-10-10,Turkey,Czech Republic,1.0,2.0,UEFA Euro qualification,Istanbul,Turkey,False,38,0,2.4,1.4,4,1,1,1,0,2
2014-10-10,Wales,Bosnia and Herzegovina,0.0,0.0,UEFA Euro qualification,Cardiff,Wales,False,29,25,1.0,0.8,2,1,1,1,0,0
2014-10-11,Albania,Denmark,1.0,1.0,UEFA Euro qualification,Elbasan,Albania,False,45,27,1.2,0.4,3,2,2,2,0,1
2014-10-11,Armenia,Serbia,1.0,1.0,UEFA Euro qualification,Yerevan,Armenia,False,52,34,0.4,2.4,0,1,4,0,0,1
2014-10-11,Finland,Greece,1.0,1.0,UEFA Euro qualification,Helsinki,Finland,False,65,14,1.8,1.0,3,0,1,1,1,1
2014-10-11,France,Portugal,2.0,1.0,Friendly,Saint-Denis,France,False,9,11,2.2,0.8,3,1,1,2,1,1
2014-10-11,Republic of Ireland,Gibraltar,7.0,0.0,UEFA Euro qualification,Dublin,Republic of Ireland,False,62,205,1.0,2.0,1,1,3,3,1,1
2014-10-11,Northern Ireland,Faroe Islands,2.0,0.0,UEFA Euro qualification,Belfast,Northern Ireland,False,71,179,0.4,0.2,1,1,0,1,1,0
2014-10-11,Poland,Germany,2.0,0.0,UEFA Euro qualification,Warsaw,Poland,False,70,1,2.0,0.4,3,4,1,0,1,1
2014-10-11,Romania,Hungary,1.0,1.0,UEFA Euro qualification,Bucharest,Romania,False,26,54,0.4,0.0,2,2,0,2,0,1
2014-10-11,Scotland,Georgia,1.0,0.0,UEFA Euro qualification,Glasgow,Scotland,False,29,110,0.4,0.4,1,1,1,1,0,0
2014-10-12,Austria,Montenegro,1.0,0.0,UEFA Euro qualification,Vienna,Austria,False,39,43,1.2,0.8,2,1,0,1,2,1
2014-10-12,Belarus,Slovakia,1.0,3.0,UEFA Euro qualification,Barysaw,Belarus,False,89,40,1.4,1.2,1,4,2,1,1,0
2014-10-12,Estonia,England,0.0,1.0,UEFA Euro qualification,Tallinn,Estonia,False,81,18,0.2,1.2,1,4,4,1,0,0
