date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2023-11-21,Andorra,Israel,0.0,2.0,UEFA Euro qualification,Andorra la Vella,Andorra,False,159,71,0.0,0.8,2.2,1.0,0,1,4,2,1,2
2023-11-21,Kosovo,Belarus,0.0,1.0,UEFA Euro qualification,Pristina,Kosovo,False,105,100,1.4,0.8,1.0,0.8,2,1,1,1,2,3
2023-11-21,Romania,Switzerland,1.0,0.0,UEFA Euro qualification,Bucharest,Romania,False,48,14,1.8,2.0,0.4,1.4,3,1,0,0,2,4
2024-01-12,Sweden,Estonia,2.0,1.0,Friendly,Paphos,Cyprus,True,26,122,1.4,0.0,1.6,3.2,2,0,2,5,1,0
2024-03-21,Gibraltar,Lithuania,0.0,1.0,UEFA Nations League,Faro-Loulé,Portugal,True,201,138,0.0,1.0,6.6,1.6,0,1,5,3,0,1
2024-03-21,Poland,Estonia,5.0,1.0,UEFA Euro qualification,Warsaw,Poland,False,30,123,1.2,0.2,0.8,2.6,2,0,1,5,2,0
2024-03-21,Wales,Finland,4.0,1.0,UEFA Euro qualification,Cardiff,Wales,False,29,60,2.0,1.4,0.6,1.4,3,2,0,3,2,0
2024-03-21,Israel,Iceland,1.0,4.0,UEFA Euro qualification,Budapest,Hungary,True,75,73,1.0,1.6,0.8,1.4,2,2,2,2,1,1
2024-03-21,Bosnia and Herzegovina,Ukraine,1.0,2.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,71,24,0.8,1.4,2.4,0.8,1,2,4,1,0,2
2024-03-21,Georgia,Luxembourg,2.0,0.0,UEFA Euro qualification,Tbilisi,Georgia,False,77,85,1.8,1.2,2.8,2.4,1,2,3,2,1,1
2024-03-21,Greece,Kazakhstan,5.0,0.0,UEFA Euro qualification,Athens,Greece,False,49,100,1.8,1.6,1.2,1.4,2,3,2,2,1,0
2024-03-21,Cyprus,Latvia,1.0,1.0,Friendly,Larnaca,Cyprus,False,125,136,0.4,0.4,3.4,2.0,1,1,4,4,0,0
2024-03-21,Malta,Slovenia,2.0,2.0,Friendly,Ta' Qali,Malta,False,172,55,0.4,2.2,2.2,0.6,1,4,4,1,0,0
2024-03-21,Montenegro,Belarus,2.0,0.0,Friendly,Antalya,Turkey,True,72,95,1.6,1.0,1.8,0.8,2,2,2,1,1,2
2024-03-21,Portugal,Sweden,5.0,2.0,Friendly,Guimarães,Portugal,False,7,26,4.2,1.6,0.4,1.2,5,3,0,1,0,1
2024-03-22,Armenia,Kosovo,0.0,1.0,Friendly,Yerevan,Armenia,False,94,102,0.4,1.0,1.6,0.8,0,2,4,2,1,1
