date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded
2016-07-02,Germany,Italy,1.0,1.0,UEFA Euro,Bordeaux,France,True,4,12,1.4,0.6,1.0,1.2
2016-07-03,France,Iceland,5.0,2.0,UEFA Euro,Saint-Denis,France,False,17,34,2.2,0.8,1.6666666666666667,2.3333333333333335
2016-07-06,Portugal,Wales,2.0,0.0,UEFA Euro,Lyon,France,True,8,26,1.0,0.4,1.3333333333333333,1.3333333333333333
2016-07-07,France,Germany,2.0,0.0,UEFA Euro,Marseille,France,False,17,4,2.2,0.6,1.6,1.2
2016-07-10,France,Portugal,0.0,1.0,UEFA Euro,Saint-Denis,France,False,17,8,1.8,0.8,1.4,0.8
2021-06-11,Italy,Turkey,3.0,0.0,UEFA Euro,Rome,Italy,False,7,29,1.6,0.2,1.0,2.0
2021-06-12,Wales,Switzerland,1.0,1.0,UEFA Euro,Cardiff,Wales,False,17,13,1.75,0.75,0.6,1.0
2021-06-12,Denmark,Finland,0.0,1.0,UEFA Euro,Copenhagen,Denmark,False,10,54,1.0,1.6,1.0,0.0
2021-06-12,Russia,Belgium,0.0,3.0,UEFA Euro,Saint Petersburg,Russia,False,38,1,1.0,2.4,2.25,0.75
2021-06-13,Austria,North Macedonia,3.0,1.0,UEFA Euro,Bucharest,Romania,True,23,62,0.8,1.2,1.0,3.0
2021-06-13,Netherlands,Ukraine,3.0,2.0,UEFA Euro,Amsterdam,Netherlands,False,16,24,1.4,1.6,1.0,2.5
2021-06-13,England,Croatia,1.0,0.0,UEFA Euro,London,England,False,4,14,1.0,0.8,1.4,1.0
2021-06-14,Scotland,Czech Republic,0.0,2.0,UEFA Euro,Glasgow,Scotland,False,44,0,1.0,1.0,1.2,1.2
2021-06-14,Poland,Slovakia,1.0,2.0,UEFA Euro,Saint Petersburg,Russia,True,21,36,0.8,1.0,1.25,1.75
2021-06-14,Spain,Sweden,0.0,0.0,UEFA Euro,Seville,Spain,False,6,18,2.0,0.0,0.4,1.2
2021-06-15,Hungary,Portugal,0.0,3.0,UEFA Euro,Budapest,Hungary,False,37,5,1.0,3.3333333333333335,1.8,0.8
2021-06-15,Germany,France,0.0,1.0,UEFA Euro,Munich,Germany,False,12,2,1.2,0.4,0.8,1.6
2021-06-16,Turkey,Wales,0.0,2.0,UEFA Euro,Baku,Azerbaijan,True,29,17,0.8,1.8,1.5,1.0
